Sl_no,Type_of_course_Aggregate,Type_of_fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Cement_O.P.C_(Kg/m3),W/C_Ratio,Water_Content_(Kg/m3),7_day_str
1190,Crushed,Natural,20,370,0.52,190,25.9
1191,Crushed,Natural,20,370,0.52,190,25.9
1192,Crushed,Natural,20,375,0.48,180,21.9
1193,Crushed,Natural,20,375,0.48,180,21.9
1194,Crushed,Natural,40,375,0.48,180,21.9
1195,Crushed,Natural,20,375,0.48,180,37.2
1196,Crushed,Natural,40,350,0.46,160,32.4
1197,Crushed,Natural,40,350,0.46,160,32.4
1198,Crushed,Natural,20,375,0.48,180,37.2
1199,Crushed,Natural,20,375,0.48,180,33.6
1200,Crushed,Natural,20,385,0.51,195,32.8
1201,Crushed,Natural,20,385,0.51,195,24.8
1202,Crushed,Natural,20,385,0.51,195,32.8
1203,Crushed,Natural,20,390,0.51,215,30.7
1204,Crushed,Natural,20,390,0.51,215,30.7
1205,Crushed,Natural,20,360,0.49,185,37
1206,Crushed,Natural,20,360,0.49,185,37
1207,Crushed,Natural,40,365,0.44,160,35.2
1208,Crushed,Natural,0,365,0.44,160,35.2
1209,Crushed,Natural,40,350,0.46,160,27
1210,Crushed,Natural,20,400,0.42,160,35.7
1211,Crushed,Natural,20,380,0.42,160,36.6
1212,Crushed,Natural,20,375,0.44,165,32.4
1213,Crushed,Natural,20,375,0.44,165,34.1
1214,Crushed,Natural,40,375,0.45,170,31
1215,Crushed,Natural,40,375,0.45,170,35.2
1216,Crushed,Natural,40,375,0.45,170,35.2
1217,Crushed,Natural,40,375,0.45,170,31
1218,Crushed,Natural,40,350,0.46,160,38.9
1219,Crushed,Natural,40,350,0.46,160,38.9
1220,Crushed,Natural,40,340,0.47,160,31.5
1221,Crushed,Natural,40,340,0.47,160,31.5
1222,Crushed,Natural,20,380,0.45,180,27.7
1223,Crushed,Natural,20,375,0.48,180,33.5
1224,Crushed,Natural,20,380,0.47,180,0
1225,Crushed,Natural,20,375,0.51,190,34.1
1226,Crushed,Natural,20,375,0.51,190,24.5
1227,Crushed,Natural,20,380,0.45,180,34.4
1228,Crushed,Natural,20,380,0.45,180,0
1229,Crushed,Natural,20,375,0.48,180,33.5
1230,Crushed,Natural,20,360,0.47,170,37.8
1231,Crushed,Natural,20,360,0.47,170,37.8
1232,Crushed,Natural,20,350,0.46,160,28.1
1233,Crushed,Natural,20,350,0.46,160,31.4
1234,Crushed,Natural,20,400,0.45,180,35.7
1235,Crushed,Natural,20,400,0.45,180,35.7
1236,Crushed,Natural,20,375,0.49,185,28.3
1237,Crushed,Natural,20,375,0.49,185,28.3
1238,Crushed,Natural,20,375,0.49,185,28.3
1239,Crushed,Natural,20,375,0.49,185,28.3
1240,Crushed,Natural,20,365,0.47,170,33.2
1241,Crushed,Natural,20,365,0.47,170,33.2
1242,Crushed,Natural,40,375,0.49,185,33.3
1243,Crushed,Natural,40,375,0.49,185,33.3
1244,Crushed,Natural,40,360,0.47,170,41.8
1245,Crushed,Natural,40,360,0.47,170,41.8
1246,Crushed,Natural,40,370,0.46,170,24.4
1247,Crushed,Natural,20,365,0.51,185,28.9
1248,Crushed,Natural,20,365,0.51,185,28.9
1249,Crushed,Natural,20,350,0.48,180,32.8
1250,Crushed,Natural,20,350,0.48,180,32.8
1251,Crushed,Natural,40,365,0.44,160,38.4
1252,Crushed,Natural,40,365,0.44,160,38.4
1253,Crushed,Natural,40,350,0.48,168,37.9
1254,Crushed,Natural,20,375,0.51,190,20.7
1255,Crushed,Natural,20,375,0.51,190,20.7
1256,Crushed,Natural,20,365,0.46,170,32.9
1257,Crushed,Natural,20,365,0.47,170,32.9
1258,Crushed,Natural,40,375,0.49,185,35.7
1259,Crushed,Natural,40,375,0.45,190,36.9
1260,Crushed,Natural,40,375,0.45,190,33.7
1261,Crushed,Natural,20,400,0.45,180,34.5
1262,Crushed,Natural,20,400,0.45,180,30.3
1263,Crushed,Natural,20,400,0.45,180,30.3
1264,Crushed,Natural,40,375,0.48,180,28
1265,Crushed,Natural,20,370,0.51,190,37.6
